customer_id,acquisition_channel,country,first_purchase,last_purchase,orders,total_revenue,lifetime_months,AOV,purchase_frequency,Historical_CLTV
CUST000021,Referral,Canada,2024-01-17,2024-02-28,2,1512.8200000000002,2,756.4100000000001,1.0,1512.8200000000002
CUST000022,Google Ads,France,2024-05-20,2024-10-29,7,2173.6800000000003,6,310.52571428571434,1.1666666666666667,2173.6800000000003
CUST000023,Facebook Ads,Canada,2024-03-09,2024-05-21,3,1217.43,3,405.81,1.0,1217.43
CUST000024,Google Ads,USA,2024-02-28,2024-12-27,10,1626.3400000000001,11,162.63400000000001,0.9090909090909091,1626.34
CUST000025,Facebook Ads,USA,2023-07-30,2023-11-12,4,1910.1,5,477.525,0.8,1910.1
CUST000026,Facebook Ads,Australia,2023-11-20,2023-12-30,2,287.57,2,143.785,1.0,287.57
CUST000027,Email,UK,2023-08-01,2023-12-21,6,1291.37,5,215.22833333333332,1.2,1291.37
CUST000028,Referral,Australia,2024-04-19,2024-04-19,1,352.08,1,352.08,1.0,352.08
CUST000029,Instagram,UK,2023-12-30,2024-06-24,5,1762.1299999999999,7,352.426,0.7142857142857143,1762.13
CUST000030,Facebook Ads,Germany,2023-02-12,2023-02-12,1,48.61,1,48.61,1.0,48.61
CUST000031,Instagram,USA,2023-11-06,2024-02-16,4,728.21,4,182.0525,1.0,728.21
CUST000032,Referral,UK,2024-08-12,2024-09-15,2,1033.24,2,516.62,1.0,1033.24
CUST000033,Instagram,Canada,2024-05-08,2024-12-10,6,1649.59,8,274.9316666666667,0.75,1649.5900000000001
CUST000034,Email,Germany,2023-04-03,2023-06-29,3,973.44,3,324.48,1.0,973.44
CUST000035,Email,France,2024-06-24,2024-09-23,3,614.85,4,204.95000000000002,0.75,614.85
CUST000036,Organic Search,UK,2024-12-29,2024-12-29,1,458.66,1,458.66,1.0,458.66
CUST000037,Email,Australia,2024-05-23,2024-09-15,5,1850.51,5,370.102,1.0,1850.5099999999998
CUST000038,Facebook Ads,UK,2024-12-19,2024-12-19,1,130.83,1,130.83,1.0,130.83
CUST000039,Referral,Australia,2023-08-29,2023-09-15,2,1279.6399999999999,2,639.8199999999999,1.0,1279.6399999999999
CUST000040,Email,Australia,2024-12-13,2024-12-13,1,175.35,1,175.35,1.0,175.35
CUST000041,Google Ads,USA,2024-07-24,2024-07-24,1,183.55,1,183.55,1.0,183.55
CUST000042,Referral,Germany,2024-09-09,2024-10-11,2,877.98,2,438.99,1.0,877.98
CUST000043,Facebook Ads,Australia,2023-09-19,2023-09-19,1,68.42,1,68.42,1.0,68.42
CUST000044,Referral,USA,2024-06-04,2024-11-09,4,1216.68,6,304.17,0.6666666666666666,1216.68
CUST000045,Email,USA,2023-07-08,2023-08-02,2,554.46,2,277.23,1.0,554.46
CUST000046,Google Ads,Australia,2024-05-30,2024-11-12,6,2529.75,7,421.625,0.8571428571428571,2529.75
CUST000047,Organic Search,Germany,2024-11-02,2024-12-07,3,1059.02,2,353.00666666666666,1.5,1059.02
CUST000048,Facebook Ads,Canada,2023-02-12,2023-05-15,4,1051.4599999999998,4,262.86499999999995,1.0,1051.4599999999998
CUST000049,Direct,UK,2023-07-23,2023-09-20,4,1416.72,3,354.18,1.3333333333333333,1416.72
CUST000050,Facebook Ads,USA,2023-11-12,2023-11-29,2,547.17,1,273.585,2.0,547.17
CUST000051,Referral,UK,2024-02-27,2024-02-27,1,344.13,1,344.13,1.0,344.13
CUST000052,Direct,Germany,2024-08-31,2024-08-31,1,241.44,1,241.44,1.0,241.44
CUST000053,Direct,Canada,2024-01-01,2024-01-01,1,386.13,1,386.13,1.0,386.13
CUST000054,Instagram,France,2023-02-01,2023-04-14,4,1999.38,3,499.845,1.3333333333333333,1999.38
CUST000055,Direct,Canada,2023-09-13,2023-12-10,3,1255.32,4,418.44,0.75,1255.32
CUST000056,Instagram,Germany,2024-02-04,2024-02-04,1,80.26,1,80.26,1.0,80.26
CUST000057,Direct,Canada,2024-09-10,2024-10-07,3,1530.0900000000001,2,510.03000000000003,1.5,1530.0900000000001
CUST000058,Google Ads,France,2024-01-28,2024-12-02,10,2259.32,12,225.93200000000002,0.8333333333333334,2259.3200000000006
CUST000059,Organic Search,USA,2023-05-07,2023-05-07,1,155.14,1,155.14,1.0,155.14
CUST000060,Organic Search,Canada,2024-01-20,2024-04-28,4,1475.6799999999998,4,368.91999999999996,1.0,1475.6799999999998
CUST000061,Direct,Australia,2024-05-17,2024-09-21,6,2315.63,5,385.93833333333333,1.2,2315.63
CUST000062,Referral,Australia,2024-03-11,2024-03-11,1,185.58,1,185.58,1.0,185.58
CUST000063,Referral,Germany,2024-06-02,2024-09-18,5,767.42,4,153.48399999999998,1.25,767.4199999999998
CUST000064,Instagram,Canada,2023-03-02,2023-07-07,5,1583.93,5,316.786,1.0,1583.93
CUST000065,Email,France,2023-08-20,2024-04-29,10,4563.4,9,456.34,1.1111111111111112,4563.4
CUST000066,Organic Search,Germany,2023-05-15,2024-10-26,16,4738.04,18,296.1275,0.8888888888888888,4738.04
CUST000067,Email,Canada,2024-07-26,2024-10-15,3,685.96,4,228.65333333333334,0.75,685.96
CUST000068,Organic Search,Germany,2024-02-20,2024-05-09,4,904.6600000000001,4,226.16500000000002,1.0,904.6600000000001
CUST000069,Email,Australia,2023-02-24,2024-04-22,13,3557.6,15,273.66153846153844,0.8666666666666667,3557.6
CUST000070,Email,France,2024-02-26,2024-11-12,7,2012.86,10,287.5514285714286,0.7,2012.8600000000001
CUST000071,Organic Search,USA,2024-08-02,2024-10-15,3,1617.1399999999999,3,539.0466666666666,1.0,1617.1399999999999
CUST000072,Google Ads,France,2023-05-01,2023-07-30,3,540.8,3,180.26666666666665,1.0,540.8
CUST000073,Google Ads,USA,2024-06-15,2024-06-15,1,278.76,1,278.76,1.0,278.76
CUST000074,Referral,UK,2024-12-24,2024-12-24,1,708.04,1,708.04,1.0,708.04
CUST000075,Email,Australia,2024-03-30,2024-12-28,8,1686.67,10,210.83375,0.8,1686.6700000000003
CUST000077,Email,Australia,2024-08-26,2024-08-26,1,448.6,1,448.6,1.0,448.6
CUST000078,Email,France,2023-07-05,2023-10-28,4,1487.38,4,371.845,1.0,1487.38
CUST000079,Email,USA,2023-09-10,2023-12-01,3,1042.47,4,347.49,0.75,1042.47
CUST000080,Instagram,UK,2023-11-03,2024-02-07,4,1474.79,4,368.6975,1.0,1474.79
CUST000081,Facebook Ads,UK,2023-11-16,2023-12-10,2,954.5,2,477.25,1.0,954.5
CUST000082,Email,UK,2024-05-27,2024-06-19,3,396.13,2,132.04333333333332,1.5,396.13
CUST000083,Instagram,Germany,2024-05-17,2024-12-14,8,4105.29,8,513.16125,1.0,4105.29
CUST000085,Email,France,2023-11-04,2024-02-29,5,1521.47,4,304.294,1.25,1521.4699999999998
CUST000086,Google Ads,Australia,2024-12-21,2024-12-21,1,308.4,1,308.4,1.0,308.4
CUST000087,Referral,France,2023-11-07,2024-12-25,12,3439.99,14,286.6658333333333,0.8571428571428571,3439.9899999999993
CUST000089,Organic Search,Germany,2024-12-30,2024-12-30,1,100.35,1,100.35,1.0,100.35
CUST000090,Facebook Ads,France,2024-01-30,2024-01-30,1,103.09,1,103.09,1.0,103.09
CUST000091,Email,USA,2023-03-12,2023-07-29,5,875.97,5,175.19400000000002,1.0,875.97
CUST000092,Email,UK,2023-09-25,2023-11-11,2,698.89,3,349.445,0.6666666666666666,698.8899999999999
CUST000093,Facebook Ads,Germany,2023-09-01,2023-11-14,3,525.43,3,175.14333333333332,1.0,525.43
CUST000094,Facebook Ads,Germany,2024-02-13,2024-09-21,9,3260.85,8,362.31666666666666,1.125,3260.85
CUST000095,Referral,Australia,2024-06-18,2024-12-26,6,1546.48,7,257.74666666666667,0.8571428571428571,1546.4799999999998
CUST000096,Direct,France,2023-03-09,2023-03-09,1,479.86,1,479.86,1.0,479.86
CUST000097,Google Ads,UK,2023-08-01,2023-10-16,4,1467.56,3,366.89,1.3333333333333333,1467.56
CUST000098,Organic Search,USA,2023-01-24,2023-01-24,1,53.36,1,53.36,1.0,53.36
CUST000099,Direct,UK,2023-03-28,2023-04-14,2,518.5,2,259.25,1.0,518.5
CUST000100,Facebook Ads,Canada,2024-07-07,2024-10-13,4,1116.22,4,279.055,1.0,1116.22
CUST000101,Organic Search,UK,2024-01-03,2024-05-29,6,2602.92,5,433.82,1.2,2602.9199999999996
CUST000102,Facebook Ads,USA,2023-06-25,2023-08-03,3,562.39,3,187.46333333333334,1.0,562.39
CUST000103,Google Ads,USA,2024-12-03,2024-12-03,1,650.0,1,650.0,1.0,650.0
CUST000104,Organic Search,USA,2024-05-19,2024-10-24,7,1838.3600000000001,6,262.6228571428572,1.1666666666666667,1838.3600000000006
CUST000105,Direct,Germany,2023-04-28,2023-04-28,1,521.73,1,521.73,1.0,521.73
CUST000106,Instagram,Germany,2023-05-27,2023-05-27,1,241.65,1,241.65,1.0,241.65
CUST000107,Google Ads,Canada,2024-06-12,2024-06-12,1,94.84,1,94.84,1.0,94.84
CUST000108,Direct,UK,2024-08-25,2024-11-15,3,948.1400000000001,4,316.0466666666667,0.75,948.1400000000001
CUST000109,Organic Search,France,2024-03-04,2024-06-30,4,2110.71,4,527.6775,1.0,2110.71
CUST000110,Facebook Ads,Australia,2024-12-16,2024-12-16,1,703.41,1,703.41,1.0,703.41
CUST000111,Direct,Canada,2024-03-09,2024-03-09,1,202.16,1,202.16,1.0,202.16
CUST000112,Facebook Ads,France,2023-12-08,2023-12-21,2,730.47,1,365.235,2.0,730.47
CUST000113,Google Ads,France,2024-03-09,2024-12-30,11,2685.92,10,244.17454545454547,1.1,2685.9200000000005
CUST000114,Google Ads,Canada,2024-05-12,2024-06-11,2,1167.0,2,583.5,1.0,1167.0
CUST000115,Direct,UK,2023-09-24,2023-10-29,2,502.77,2,251.385,1.0,502.77
CUST000116,Facebook Ads,Australia,2023-03-11,2023-08-08,8,2364.2,6,295.525,1.3333333333333333,2364.2
CUST000117,Organic Search,France,2023-03-09,2023-06-18,4,634.54,4,158.635,1.0,634.54
CUST000118,Direct,Germany,2023-06-08,2023-08-18,3,952.46,3,317.4866666666667,1.0,952.46
CUST000119,Instagram,Germany,2023-09-08,2024-08-11,10,1747.78,12,174.778,0.8333333333333334,1747.7800000000002
CUST000120,Referral,Canada,2023-02-23,2023-07-09,5,1415.44,6,283.088,0.8333333333333334,1415.44
CUST000121,Google Ads,Australia,2023-03-10,2023-04-26,2,240.1,2,120.05,1.0,240.1
CUST000122,Facebook Ads,Australia,2024-05-28,2024-07-24,2,453.83000000000004,3,226.91500000000002,0.6666666666666666,453.83000000000004
CUST000123,Organic Search,France,2024-03-03,2024-07-30,4,781.0,5,195.25,0.8,781.0000000000001
CUST000124,Google Ads,Canada,2024-09-11,2024-12-26,6,2746.42,4,457.7366666666667,1.5,2746.42
CUST000126,Google Ads,Australia,2023-05-02,2023-08-19,3,742.02,4,247.34,0.75,742.02
CUST000127,Facebook Ads,Germany,2024-11-26,2024-12-06,2,1185.83,2,592.915,1.0,1185.83
CUST000129,Facebook Ads,France,2024-07-27,2024-07-27,1,133.7,1,133.7,1.0,133.7
CUST000130,Organic Search,France,2024-10-29,2024-12-21,3,508.68,3,169.56,1.0,508.68
CUST000131,Google Ads,Germany,2024-06-03,2024-11-22,5,888.63,6,177.726,0.8333333333333334,888.6300000000001
CUST000132,Referral,USA,2024-11-03,2024-12-13,2,1618.92,2,809.46,1.0,1618.92
CUST000133,Referral,USA,2023-02-27,2023-02-27,1,82.98,1,82.98,1.0,82.98
CUST000134,Direct,Australia,2023-08-14,2023-10-01,2,579.4300000000001,3,289.71500000000003,0.6666666666666666,579.4300000000001
CUST000135,Instagram,UK,2024-06-15,2024-09-29,4,1499.3600000000001,4,374.84000000000003,1.0,1499.3600000000001
CUST000136,Instagram,Germany,2024-03-30,2024-07-10,4,1614.1,5,403.525,0.8,1614.1
CUST000137,Direct,UK,2024-02-19,2024-05-25,4,1241.3899999999999,4,310.34749999999997,1.0,1241.3899999999999
CUST000138,Direct,Australia,2023-09-08,2024-03-27,6,2546.75,7,424.4583333333333,0.8571428571428571,2546.75
CUST000139,Email,Germany,2023-02-28,2023-04-07,2,1139.31,3,569.655,0.6666666666666666,1139.31
CUST000140,Facebook Ads,France,2024-08-18,2024-11-16,4,756.52,4,189.13,1.0,756.52
CUST000141,Organic Search,Germany,2024-05-25,2024-07-19,4,911.99,3,227.9975,1.3333333333333333,911.99
CUST000143,Google Ads,UK,2024-08-26,2024-12-08,4,989.35,5,247.3375,0.8,989.35
CUST000144,Direct,Germany,2023-10-19,2024-10-22,10,3519.09,13,351.909,0.7692307692307693,3519.09
CUST000145,Referral,UK,2024-07-28,2024-12-13,4,1773.1,6,443.275,0.6666666666666666,1773.1
CUST000146,Organic Search,Australia,2023-05-02,2023-06-24,2,878.76,2,439.38,1.0,878.76
CUST000147,Email,Germany,2024-05-27,2024-06-10,2,310.81,2,155.405,1.0,310.81
CUST000148,Referral,USA,2024-03-16,2024-04-23,2,307.62,2,153.81,1.0,307.62
CUST000149,Direct,UK,2023-09-13,2024-04-17,8,3014.62,8,376.8275,1.0,3014.62
CUST000150,Organic Search,France,2024-11-04,2024-11-04,1,103.7,1,103.7,1.0,103.7
CUST000151,Direct,France,2023-08-03,2023-08-03,1,221.7,1,221.7,1.0,221.7
CUST000152,Instagram,Germany,2024-08-14,2024-10-02,2,814.6500000000001,3,407.32500000000005,0.6666666666666666,814.6500000000001
CUST000153,Instagram,France,2023-03-16,2023-04-18,2,618.89,2,309.445,1.0,618.89
CUST000154,Facebook Ads,France,2024-08-01,2024-10-04,3,469.03,3,156.34333333333333,1.0,469.03
CUST000155,Email,UK,2023-07-24,2023-09-15,4,1384.1100000000001,3,346.02750000000003,1.3333333333333333,1384.1100000000001
CUST000156,Organic Search,Germany,2024-12-17,2024-12-17,1,680.16,1,680.16,1.0,680.16
CUST000157,Email,UK,2023-09-22,2023-10-02,2,1353.55,2,676.775,1.0,1353.55
CUST000158,Google Ads,Germany,2023-05-03,2023-11-11,7,1111.66,7,158.80857142857144,1.0,1111.66
CUST000159,Email,France,2024-09-16,2024-11-30,3,686.54,3,228.84666666666666,1.0,686.54
CUST000160,Direct,Germany,2024-12-15,2024-12-15,1,686.46,1,686.46,1.0,686.46
CUST000161,Direct,Australia,2024-08-29,2024-12-26,4,406.1,5,101.525,0.8,406.1000000000001
CUST000162,Instagram,Germany,2024-09-12,2024-09-12,1,919.24,1,919.24,1.0,919.24
CUST000163,Facebook Ads,Canada,2024-11-17,2024-12-30,3,2108.42,2,702.8066666666667,1.5,2108.42
CUST000164,Direct,Germany,2023-03-13,2023-04-19,2,577.98,2,288.99,1.0,577.98
CUST000165,Instagram,Canada,2024-10-23,2024-10-23,1,125.9,1,125.9,1.0,125.9
CUST000166,Referral,UK,2024-07-29,2024-09-11,2,1212.18,3,606.09,0.6666666666666666,1212.18
CUST000167,Instagram,Canada,2024-01-20,2024-03-15,3,1136.71,3,378.90333333333336,1.0,1136.71
CUST000168,Organic Search,UK,2023-12-26,2024-01-11,2,490.06,2,245.03,1.0,490.06
CUST000169,Facebook Ads,Germany,2024-11-28,2024-11-28,1,158.31,1,158.31,1.0,158.31
CUST000170,Direct,UK,2024-07-04,2024-07-04,1,489.78,1,489.78,1.0,489.78
CUST000171,Organic Search,France,2024-01-26,2024-08-07,8,2697.02,8,337.1275,1.0,2697.02
CUST000172,Google Ads,Australia,2024-05-01,2024-05-01,1,140.52,1,140.52,1.0,140.52
CUST000173,Google Ads,Germany,2023-10-02,2023-10-02,1,33.48,1,33.48,1.0,33.48
CUST000174,Instagram,Canada,2023-08-03,2024-01-19,7,2470.3,6,352.90000000000003,1.1666666666666667,2470.3000000000006
CUST000175,Facebook Ads,Australia,2023-09-01,2024-10-29,13,4556.24,14,350.47999999999996,0.9285714285714286,4556.24
CUST000176,Email,USA,2024-02-13,2024-02-13,1,527.55,1,527.55,1.0,527.55
CUST000177,Facebook Ads,Australia,2024-03-06,2024-04-30,3,1488.7199999999998,2,496.23999999999995,1.5,1488.7199999999998
CUST000178,Facebook Ads,Germany,2023-11-04,2024-02-27,5,1700.82,4,340.164,1.25,1700.82
CUST000179,Facebook Ads,Australia,2024-10-06,2024-12-04,4,2142.44,3,535.61,1.3333333333333333,2142.44
CUST000180,Instagram,Australia,2024-11-15,2024-12-31,2,848.35,2,424.175,1.0,848.35
CUST000181,Organic Search,France,2023-11-06,2024-01-07,3,623.48,3,207.82666666666668,1.0,623.48
CUST000182,Instagram,UK,2024-01-16,2024-01-16,1,710.22,1,710.22,1.0,710.22
CUST000184,Organic Search,Canada,2024-04-30,2024-10-01,5,1622.72,7,324.544,0.7142857142857143,1622.7199999999998
CUST000185,Email,Canada,2024-04-11,2024-04-11,1,292.14,1,292.14,1.0,292.14
CUST000186,Referral,France,2024-11-01,2024-12-04,2,786.87,2,393.435,1.0,786.87
CUST000187,Referral,Australia,2023-12-19,2024-03-30,3,761.71,4,253.90333333333334,0.75,761.71
CUST000188,Direct,Australia,2024-11-25,2024-11-25,1,531.87,1,531.87,1.0,531.87
CUST000189,Direct,France,2023-10-07,2023-10-07,1,165.22,1,165.22,1.0,165.22
CUST000190,Organic Search,Germany,2023-09-18,2023-11-12,3,989.99,3,329.99666666666667,1.0,989.99
CUST000191,Instagram,USA,2024-12-22,2024-12-22,1,970.4,1,970.4,1.0,970.4
CUST000192,Email,USA,2024-12-06,2024-12-06,1,601.08,1,601.08,1.0,601.08
CUST000193,Email,UK,2024-03-02,2024-03-02,1,106.66,1,106.66,1.0,106.66
CUST000194,Direct,Canada,2024-12-27,2024-12-27,1,418.86,1,418.86,1.0,418.86
CUST000195,Direct,Germany,2024-09-11,2024-12-22,4,540.3499999999999,4,135.08749999999998,1.0,540.3499999999999
CUST000196,Google Ads,Canada,2024-06-04,2024-07-16,2,689.41,2,344.705,1.0,689.41
CUST000197,Email,Germany,2023-10-03,2024-09-06,10,4937.9,12,493.78999999999996,0.8333333333333334,4937.9
CUST000198,Instagram,France,2024-12-12,2024-12-12,1,715.17,1,715.17,1.0,715.17
CUST000199,Google Ads,UK,2023-06-01,2023-07-23,2,631.4300000000001,2,315.71500000000003,1.0,631.4300000000001
CUST000200,Instagram,France,2024-05-22,2024-08-05,4,583.65,4,145.9125,1.0,583.65
CUST000201,Facebook Ads,Canada,2024-04-28,2024-05-30,2,814.99,2,407.495,1.0,814.99
CUST000202,Email,UK,2024-07-31,2024-07-31,1,64.56,1,64.56,1.0,64.56
CUST000203,Facebook Ads,Australia,2023-10-23,2023-12-24,3,885.6800000000001,3,295.2266666666667,1.0,885.6800000000001
CUST000204,Referral,Germany,2024-06-04,2024-07-19,3,863.34,2,287.78000000000003,1.5,863.3400000000001
CUST000205,Referral,Germany,2024-02-17,2024-02-17,1,37.32,1,37.32,1.0,37.32
CUST000206,Organic Search,UK,2024-03-11,2024-03-20,2,1299.31,1,649.655,2.0,1299.31
CUST000207,Email,France,2023-06-19,2023-09-14,4,813.27,4,203.3175,1.0,813.27
CUST000208,Direct,UK,2024-10-19,2024-12-12,3,1025.66,3,341.8866666666667,1.0,1025.66
CUST000209,Google Ads,France,2024-11-06,2024-12-29,2,538.0,2,269.0,1.0,538.0
CUST000210,Facebook Ads,UK,2023-05-20,2023-05-20,1,468.87,1,468.87,1.0,468.87
CUST000211,Instagram,France,2024-12-06,2024-12-28,2,851.1700000000001,1,425.58500000000004,2.0,851.1700000000001
CUST000212,Email,USA,2023-05-21,2024-10-12,17,4905.86,18,288.58,0.9444444444444444,4905.86
CUST000213,Organic Search,UK,2023-01-14,2023-01-14,1,604.05,1,604.05,1.0,604.05
CUST000214,Instagram,France,2024-11-01,2024-11-23,3,960.88,1,320.29333333333335,3.0,960.8800000000001
CUST000215,Facebook Ads,Australia,2023-09-29,2024-01-02,3,767.72,5,255.90666666666667,0.6,767.7199999999999
CUST000216,Email,Canada,2024-09-03,2024-11-13,3,819.3199999999999,3,273.1066666666666,1.0,819.3199999999999
CUST000217,Direct,Canada,2023-08-22,2023-08-22,1,216.42,1,216.42,1.0,216.42
CUST000218,Facebook Ads,UK,2024-02-11,2024-03-08,2,420.53999999999996,2,210.26999999999998,1.0,420.53999999999996
CUST000219,Email,UK,2024-03-12,2024-05-29,4,1111.63,3,277.9075,1.3333333333333333,1111.63
CUST000220,Email,Germany,2024-11-06,2024-12-07,2,975.32,2,487.66,1.0,975.32
CUST000221,Facebook Ads,France,2023-06-13,2023-06-24,2,897.71,1,448.855,2.0,897.71
CUST000222,Facebook Ads,UK,2023-03-28,2023-06-11,3,647.61,4,215.87,0.75,647.61
CUST000223,Instagram,Canada,2024-11-27,2024-11-27,1,394.98,1,394.98,1.0,394.98
CUST000225,Facebook Ads,Canada,2024-11-29,2024-12-24,2,1083.64,2,541.82,1.0,1083.64
CUST000227,Organic Search,USA,2024-03-27,2024-07-08,4,1087.91,5,271.9775,0.8,1087.91
CUST000228,Referral,UK,2023-10-08,2024-02-09,4,1208.58,5,302.145,0.8,1208.58
CUST000229,Instagram,USA,2024-04-18,2024-11-24,8,2696.6,8,337.075,1.0,2696.6
CUST000230,Facebook Ads,France,2023-08-09,2023-09-05,2,770.0,2,385.0,1.0,770.0
CUST000231,Organic Search,Australia,2023-08-29,2024-04-01,8,3685.9,9,460.7375,0.8888888888888888,3685.8999999999996
CUST000232,Direct,UK,2023-06-16,2023-11-04,5,1760.23,6,352.046,0.8333333333333334,1760.23
CUST000233,Facebook Ads,Germany,2024-03-08,2024-03-08,1,728.49,1,728.49,1.0,728.49
CUST000234,Email,UK,2023-11-01,2024-02-18,5,1550.4099999999999,4,310.082,1.25,1550.4099999999999
CUST000235,Facebook Ads,UK,2023-10-20,2023-12-01,2,529.59,3,264.795,0.6666666666666666,529.59
CUST000236,Direct,UK,2024-10-03,2024-12-09,3,858.47,3,286.1566666666667,1.0,858.47
CUST000237,Organic Search,UK,2023-09-09,2023-11-07,4,1498.8200000000002,3,374.70500000000004,1.3333333333333333,1498.8200000000002
CUST000238,Facebook Ads,Australia,2024-07-15,2024-11-30,4,668.81,5,167.2025,0.8,668.81
CUST000239,Facebook Ads,UK,2023-06-06,2023-06-06,1,223.55,1,223.55,1.0,223.55
CUST000240,Google Ads,France,2024-10-06,2024-10-24,2,508.49,1,254.245,2.0,508.49
CUST000241,Google Ads,UK,2023-08-18,2023-08-18,1,178.87,1,178.87,1.0,178.87
CUST000242,Organic Search,Australia,2023-06-29,2023-09-11,3,303.83000000000004,4,101.27666666666669,0.75,303.83000000000004
CUST000243,Organic Search,France,2023-08-21,2024-04-11,8,2705.15,9,338.14375,0.8888888888888888,2705.1499999999996
CUST000244,Email,UK,2024-01-02,2024-01-02,1,389.88,1,389.88,1.0,389.88
CUST000245,Email,UK,2024-05-24,2024-12-26,10,2346.29,8,234.629,1.25,2346.29
CUST000246,Facebook Ads,France,2024-01-14,2024-01-14,1,263.2,1,263.2,1.0,263.2
CUST000247,Referral,UK,2024-12-19,2024-12-19,1,384.06,1,384.06,1.0,384.06
CUST000248,Organic Search,Australia,2024-02-20,2024-07-21,7,2428.43,6,346.9185714285714,1.1666666666666667,2428.4300000000003
CUST000249,Direct,Canada,2024-01-10,2024-05-31,8,2926.19,5,365.77375,1.6,2926.1900000000005
CUST000250,Facebook Ads,UK,2024-07-03,2024-12-20,5,1633.25,6,326.65,0.8333333333333334,1633.25
CUST000251,Referral,Germany,2023-06-21,2023-11-03,5,618.01,6,123.602,0.8333333333333334,618.0100000000001
CUST000252,Google Ads,France,2023-07-10,2023-08-09,2,609.76,2,304.88,1.0,609.76
CUST000254,Direct,UK,2024-06-23,2024-06-23,1,213.06,1,213.06,1.0,213.06
CUST000255,Organic Search,UK,2024-11-20,2024-12-28,2,215.76999999999998,2,107.88499999999999,1.0,215.76999999999998
CUST000256,Facebook Ads,France,2024-08-25,2024-10-15,3,1209.01,3,403.00333333333333,1.0,1209.01
CUST000257,Google Ads,USA,2023-12-25,2024-06-22,7,1816.64,7,259.52000000000004,1.0,1816.6400000000003
CUST000258,Instagram,Australia,2024-10-21,2024-12-12,4,1543.9899999999998,3,385.99749999999995,1.3333333333333333,1543.9899999999996
CUST000259,Google Ads,Australia,2024-05-02,2024-05-02,1,228.87,1,228.87,1.0,228.87
CUST000260,Facebook Ads,Canada,2023-07-04,2023-08-12,2,892.17,2,446.085,1.0,892.17
CUST000261,Email,Canada,2024-04-10,2024-07-25,5,975.55,4,195.10999999999999,1.25,975.55
CUST000262,Referral,UK,2023-11-02,2024-03-20,5,2025.71,5,405.142,1.0,2025.71
CUST000263,Direct,France,2024-10-09,2024-12-25,5,1965.81,3,393.162,1.6666666666666667,1965.81
CUST000264,Direct,Germany,2023-10-24,2024-02-20,5,892.48,5,178.496,1.0,892.48
CUST000265,Instagram,UK,2023-06-05,2023-08-22,4,718.84,3,179.71,1.3333333333333333,718.84
CUST000266,Direct,Canada,2023-12-26,2024-05-04,5,2498.24,6,499.64799999999997,0.8333333333333334,2498.24
CUST000267,Instagram,UK,2024-11-05,2024-12-09,2,929.78,2,464.89,1.0,929.78
CUST000268,Email,France,2024-09-02,2024-12-08,3,800.05,4,266.68333333333334,0.75,800.05
CUST000269,Instagram,Australia,2023-02-01,2023-11-06,9,3543.07,10,393.6744444444445,0.9,3543.07
CUST000270,Organic Search,Australia,2023-12-12,2023-12-12,1,133.71,1,133.71,1.0,133.71
CUST000271,Facebook Ads,Australia,2023-10-21,2024-03-12,4,598.79,6,149.6975,0.6666666666666666,598.79
