Cohort_Month,cohort_index,active_users
2024-04-01,4,273
2024-04-01,5,229
2024-04-01,6,191
2024-04-01,7,142
2024-04-01,8,133
2024-05-01,0,830
2024-05-01,1,388
2024-05-01,2,428
2024-05-01,3,311
2024-05-01,4,235
2024-05-01,5,215
2024-05-01,6,143
2024-05-01,7,126
2024-06-01,0,839
2024-06-01,1,414
2024-06-01,2,395
2024-06-01,3,285
2024-06-01,4,254
2024-06-01,5,201
2024-06-01,6,159
2024-07-01,0,847
2024-07-01,1,435
2024-07-01,2,381
2024-07-01,3,327
2024-07-01,4,261
2024-07-01,5,205
2024-08-01,0,891
2024-08-01,1,436
2024-08-01,2,471
2024-08-01,3,346
2024-08-01,4,258
2024-09-01,0,818
2024-09-01,1,425
2024-09-01,2,399
2024-09-01,3,301
2024-10-01,0,842
2024-10-01,1,407
2024-10-01,2,396
2024-11-01,0,856
2024-11-01,1,436
2024-12-01,0,829
