customer_id,revenue,total_orders,average_order_value,first_purchase,last_purchase,lifespan_days,active_months,monthly_purchase_frequency,cltv
CUST000046,2529.75,6,421.625,2024-05-30,2024-11-12,166,5.533333333333333,1.0843373493975903,2529.75
CUST000047,1059.02,3,353.00666666666666,2024-11-02,2024-12-07,35,1.1666666666666667,2.571428571428571,1059.02
CUST000048,1051.4599999999998,4,262.86499999999995,2023-02-12,2023-05-15,92,3.066666666666667,1.3043478260869565,1051.46
CUST000049,1416.72,4,354.18,2023-07-23,2023-09-20,59,1.9666666666666666,2.0338983050847457,1416.7199999999998
CUST000050,547.17,2,273.585,2023-11-12,2023-11-29,17,1.0,2.0,547.17
CUST000051,344.13,1,344.13,2024-02-27,2024-02-27,0,1.0,1.0,344.13
CUST000052,241.44,1,241.44,2024-08-31,2024-08-31,0,1.0,1.0,241.44
CUST000053,386.13,1,386.13,2024-01-01,2024-01-01,0,1.0,1.0,386.13
CUST000054,1999.38,4,499.845,2023-02-01,2023-04-14,72,2.4,1.6666666666666667,1999.38
CUST000055,1255.32,3,418.44,2023-09-13,2023-12-10,88,2.933333333333333,1.0227272727272727,1255.32
CUST000056,80.26,1,80.26,2024-02-04,2024-02-04,0,1.0,1.0,80.26
CUST000057,1530.0900000000001,3,510.03000000000003,2024-09-10,2024-10-07,27,1.0,3.0,1530.0900000000001
CUST000058,2259.32,10,225.93200000000002,2024-01-28,2024-12-02,309,10.3,0.9708737864077669,2259.32
CUST000059,155.14,1,155.14,2023-05-07,2023-05-07,0,1.0,1.0,155.14
CUST000060,1475.6799999999998,4,368.91999999999996,2024-01-20,2024-04-28,99,3.3,1.2121212121212122,1475.6799999999998
CUST000061,2315.63,6,385.93833333333333,2024-05-17,2024-09-21,127,4.233333333333333,1.4173228346456692,2315.63
CUST000062,185.58,1,185.58,2024-03-11,2024-03-11,0,1.0,1.0,185.58
CUST000063,767.42,5,153.48399999999998,2024-06-02,2024-09-18,108,3.6,1.3888888888888888,767.4199999999998
CUST000064,1583.93,5,316.786,2023-03-02,2023-07-07,127,4.233333333333333,1.1811023622047243,1583.9299999999998
CUST000065,4563.4,10,456.34,2023-08-20,2024-04-29,253,8.433333333333334,1.1857707509881423,4563.400000000001
CUST000066,4738.04,16,296.1275,2023-05-15,2024-10-26,530,17.666666666666668,0.9056603773584905,4738.04
CUST000067,685.96,3,228.65333333333334,2024-07-26,2024-10-15,81,2.7,1.111111111111111,685.9599999999999
CUST000068,904.6600000000001,4,226.16500000000002,2024-02-20,2024-05-09,79,2.6333333333333333,1.518987341772152,904.6600000000001
CUST000069,3557.6,13,273.66153846153844,2023-02-24,2024-04-22,423,14.1,0.9219858156028369,3557.5999999999995
CUST000070,2012.86,7,287.5514285714286,2024-02-26,2024-11-12,260,8.666666666666666,0.8076923076923077,2012.86
CUST000071,1617.1399999999999,3,539.0466666666666,2024-08-02,2024-10-15,74,2.466666666666667,1.2162162162162162,1617.1399999999999
CUST000072,540.8,3,180.26666666666665,2023-05-01,2023-07-30,90,3.0,1.0,540.8
CUST000073,278.76,1,278.76,2024-06-15,2024-06-15,0,1.0,1.0,278.76
CUST000074,708.04,1,708.04,2024-12-24,2024-12-24,0,1.0,1.0,708.04
CUST000075,1686.67,8,210.83375,2024-03-30,2024-12-28,273,9.1,0.8791208791208791,1686.67
CUST000077,448.6,1,448.6,2024-08-26,2024-08-26,0,1.0,1.0,448.6
CUST000078,1487.38,4,371.845,2023-07-05,2023-10-28,115,3.8333333333333335,1.0434782608695652,1487.38
CUST000079,1042.47,3,347.49,2023-09-10,2023-12-01,82,2.7333333333333334,1.0975609756097562,1042.47
CUST000080,1474.79,4,368.6975,2023-11-03,2024-02-07,96,3.2,1.25,1474.79
CUST000081,954.5,2,477.25,2023-11-16,2023-12-10,24,1.0,2.0,954.5
CUST000082,396.13,3,132.04333333333332,2024-05-27,2024-06-19,23,1.0,3.0,396.13
CUST000083,4105.29,8,513.16125,2024-05-17,2024-12-14,211,7.033333333333333,1.1374407582938388,4105.289999999999
CUST000085,1521.47,5,304.294,2023-11-04,2024-02-29,117,3.9,1.2820512820512822,1521.47
CUST000086,308.4,1,308.4,2024-12-21,2024-12-21,0,1.0,1.0,308.4
CUST000087,3439.99,12,286.6658333333333,2023-11-07,2024-12-25,414,13.8,0.8695652173913043,3439.99
CUST000089,100.35,1,100.35,2024-12-30,2024-12-30,0,1.0,1.0,100.35
CUST000090,103.09,1,103.09,2024-01-30,2024-01-30,0,1.0,1.0,103.09
CUST000091,875.97,5,175.19400000000002,2023-03-12,2023-07-29,139,4.633333333333334,1.079136690647482,875.9700000000001
CUST000092,698.89,2,349.445,2023-09-25,2023-11-11,47,1.5666666666666667,1.2765957446808511,698.89
CUST000093,525.43,3,175.14333333333332,2023-09-01,2023-11-14,74,2.466666666666667,1.2162162162162162,525.4300000000001
CUST000094,3260.85,9,362.31666666666666,2024-02-13,2024-09-21,221,7.366666666666666,1.2217194570135748,3260.85
CUST000095,1546.48,6,257.74666666666667,2024-06-18,2024-12-26,191,6.366666666666666,0.9424083769633509,1546.48
CUST000096,479.86,1,479.86,2023-03-09,2023-03-09,0,1.0,1.0,479.86
CUST000097,1467.56,4,366.89,2023-08-01,2023-10-16,76,2.533333333333333,1.5789473684210527,1467.5599999999997
CUST000098,53.36,1,53.36,2023-01-24,2023-01-24,0,1.0,1.0,53.36
CUST000099,518.5,2,259.25,2023-03-28,2023-04-14,17,1.0,2.0,518.5
CUST000100,1116.22,4,279.055,2024-07-07,2024-10-13,98,3.2666666666666666,1.2244897959183674,1116.22
CUST000101,2602.92,6,433.82,2024-01-03,2024-05-29,147,4.9,1.2244897959183672,2602.9199999999996
CUST000102,562.39,3,187.46333333333334,2023-06-25,2023-08-03,39,1.3,2.3076923076923075,562.39
CUST000103,650.0,1,650.0,2024-12-03,2024-12-03,0,1.0,1.0,650.0
CUST000104,1838.3600000000001,7,262.6228571428572,2024-05-19,2024-10-24,158,5.266666666666667,1.3291139240506329,1838.3600000000001
CUST000105,521.73,1,521.73,2023-04-28,2023-04-28,0,1.0,1.0,521.73
CUST000106,241.65,1,241.65,2023-05-27,2023-05-27,0,1.0,1.0,241.65
CUST000107,94.84,1,94.84,2024-06-12,2024-06-12,0,1.0,1.0,94.84
CUST000108,948.1400000000001,3,316.0466666666667,2024-08-25,2024-11-15,82,2.7333333333333334,1.0975609756097562,948.1400000000002
CUST000109,2110.71,4,527.6775,2024-03-04,2024-06-30,118,3.933333333333333,1.0169491525423728,2110.71
CUST000110,703.41,1,703.41,2024-12-16,2024-12-16,0,1.0,1.0,703.41
CUST000111,202.16,1,202.16,2024-03-09,2024-03-09,0,1.0,1.0,202.16
CUST000112,730.47,2,365.235,2023-12-08,2023-12-21,13,1.0,2.0,730.47
CUST000113,2685.92,11,244.17454545454547,2024-03-09,2024-12-30,296,9.866666666666667,1.114864864864865,2685.92
CUST000114,1167.0,2,583.5,2024-05-12,2024-06-11,30,1.0,2.0,1167.0
CUST000115,502.77,2,251.385,2023-09-24,2023-10-29,35,1.1666666666666667,1.7142857142857142,502.77
CUST000116,2364.2,8,295.525,2023-03-11,2023-08-08,150,5.0,1.6,2364.2
CUST000117,634.54,4,158.635,2023-03-09,2023-06-18,101,3.3666666666666667,1.188118811881188,634.54
CUST000118,952.46,3,317.4866666666667,2023-06-08,2023-08-18,71,2.3666666666666667,1.267605633802817,952.46
CUST000119,1747.78,10,174.778,2023-09-08,2024-08-11,338,11.266666666666667,0.8875739644970414,1747.78
CUST000120,1415.44,5,283.088,2023-02-23,2023-07-09,136,4.533333333333333,1.1029411764705883,1415.44
CUST000121,240.1,2,120.05,2023-03-10,2023-04-26,47,1.5666666666666667,1.2765957446808511,240.1
CUST000122,453.83000000000004,2,226.91500000000002,2024-05-28,2024-07-24,57,1.9,1.0526315789473684,453.83000000000004
CUST000123,781.0,4,195.25,2024-03-03,2024-07-30,149,4.966666666666667,0.8053691275167785,781.0
CUST000124,2746.42,6,457.7366666666667,2024-09-11,2024-12-26,106,3.533333333333333,1.6981132075471699,2746.42
CUST000126,742.02,3,247.34,2023-05-02,2023-08-19,109,3.6333333333333333,0.8256880733944955,742.0200000000001
CUST000127,1185.83,2,592.915,2024-11-26,2024-12-06,10,1.0,2.0,1185.83
CUST000129,133.7,1,133.7,2024-07-27,2024-07-27,0,1.0,1.0,133.7
CUST000130,508.68,3,169.56,2024-10-29,2024-12-21,53,1.7666666666666666,1.6981132075471699,508.68
CUST000131,888.63,5,177.726,2024-06-03,2024-11-22,172,5.733333333333333,0.872093023255814,888.63
CUST000132,1618.92,2,809.46,2024-11-03,2024-12-13,40,1.3333333333333333,1.5,1618.92
CUST000133,82.98,1,82.98,2023-02-27,2023-02-27,0,1.0,1.0,82.98
CUST000134,579.4300000000001,2,289.71500000000003,2023-08-14,2023-10-01,48,1.6,1.25,579.4300000000002
CUST000135,1499.3600000000001,4,374.84000000000003,2024-06-15,2024-09-29,106,3.533333333333333,1.1320754716981132,1499.3600000000001
CUST000136,1614.1,4,403.525,2024-03-30,2024-07-10,102,3.4,1.1764705882352942,1614.1
CUST000137,1241.3899999999999,4,310.34749999999997,2024-02-19,2024-05-25,96,3.2,1.25,1241.3899999999999
CUST000138,2546.75,6,424.4583333333333,2023-09-08,2024-03-27,201,6.7,0.8955223880597015,2546.75
CUST000139,1139.31,2,569.655,2023-02-28,2023-04-07,38,1.2666666666666666,1.5789473684210527,1139.31
CUST000140,756.52,4,189.13,2024-08-18,2024-11-16,90,3.0,1.3333333333333333,756.52
CUST000141,911.99,4,227.9975,2024-05-25,2024-07-19,55,1.8333333333333333,2.181818181818182,911.99
CUST000143,989.35,4,247.3375,2024-08-26,2024-12-08,104,3.466666666666667,1.1538461538461537,989.3499999999999
CUST000144,3519.09,10,351.909,2023-10-19,2024-10-22,369,12.3,0.8130081300813008,3519.0899999999997
CUST000145,1773.1,4,443.275,2024-07-28,2024-12-13,138,4.6,0.8695652173913044,1773.1
CUST000146,878.76,2,439.38,2023-05-02,2023-06-24,53,1.7666666666666666,1.1320754716981132,878.7599999999999
CUST000147,310.81,2,155.405,2024-05-27,2024-06-10,14,1.0,2.0,310.81
CUST000148,307.62,2,153.81,2024-03-16,2024-04-23,38,1.2666666666666666,1.5789473684210527,307.62
CUST000149,3014.62,8,376.8275,2023-09-13,2024-04-17,217,7.233333333333333,1.1059907834101383,3014.6200000000003
CUST000150,103.7,1,103.7,2024-11-04,2024-11-04,0,1.0,1.0,103.7
CUST000151,221.7,1,221.7,2023-08-03,2023-08-03,0,1.0,1.0,221.7
CUST000152,814.6500000000001,2,407.32500000000005,2024-08-14,2024-10-02,49,1.6333333333333333,1.2244897959183674,814.6500000000001
CUST000153,618.89,2,309.445,2023-03-16,2023-04-18,33,1.1,1.8181818181818181,618.8900000000001
CUST000154,469.03,3,156.34333333333333,2024-08-01,2024-10-04,64,2.1333333333333333,1.40625,469.03
CUST000155,1384.1100000000001,4,346.02750000000003,2023-07-24,2023-09-15,53,1.7666666666666666,2.2641509433962264,1384.11
CUST000156,680.16,1,680.16,2024-12-17,2024-12-17,0,1.0,1.0,680.16
CUST000157,1353.55,2,676.775,2023-09-22,2023-10-02,10,1.0,2.0,1353.55
CUST000158,1111.66,7,158.80857142857144,2023-05-03,2023-11-11,192,6.4,1.09375,1111.66
CUST000159,686.54,3,228.84666666666666,2024-09-16,2024-11-30,75,2.5,1.2,686.54
CUST000160,686.46,1,686.46,2024-12-15,2024-12-15,0,1.0,1.0,686.46
CUST000161,406.1,4,101.525,2024-08-29,2024-12-26,119,3.966666666666667,1.0084033613445378,406.1
CUST000162,919.24,1,919.24,2024-09-12,2024-09-12,0,1.0,1.0,919.24
CUST000163,2108.42,3,702.8066666666667,2024-11-17,2024-12-30,43,1.4333333333333333,2.0930232558139537,2108.4200000000005
CUST000164,577.98,2,288.99,2023-03-13,2023-04-19,37,1.2333333333333334,1.6216216216216215,577.98
CUST000165,125.9,1,125.9,2024-10-23,2024-10-23,0,1.0,1.0,125.9
CUST000166,1212.18,2,606.09,2024-07-29,2024-09-11,44,1.4666666666666666,1.3636363636363638,1212.18
CUST000167,1136.71,3,378.90333333333336,2024-01-20,2024-03-15,55,1.8333333333333333,1.6363636363636365,1136.71
CUST000168,490.06,2,245.03,2023-12-26,2024-01-11,16,1.0,2.0,490.06
CUST000169,158.31,1,158.31,2024-11-28,2024-11-28,0,1.0,1.0,158.31
CUST000170,489.78,1,489.78,2024-07-04,2024-07-04,0,1.0,1.0,489.78
CUST000171,2697.02,8,337.1275,2024-01-26,2024-08-07,194,6.466666666666667,1.2371134020618557,2697.0200000000004
CUST000172,140.52,1,140.52,2024-05-01,2024-05-01,0,1.0,1.0,140.52
CUST000173,33.48,1,33.48,2023-10-02,2023-10-02,0,1.0,1.0,33.48
CUST000174,2470.3,7,352.90000000000003,2023-08-03,2024-01-19,169,5.633333333333334,1.242603550295858,2470.3
CUST000175,4556.24,13,350.47999999999996,2023-09-01,2024-10-29,424,14.133333333333333,0.919811320754717,4556.24
CUST000176,527.55,1,527.55,2024-02-13,2024-02-13,0,1.0,1.0,527.55
CUST000177,1488.7199999999998,3,496.23999999999995,2024-03-06,2024-04-30,55,1.8333333333333333,1.6363636363636365,1488.7199999999998
CUST000178,1700.82,5,340.164,2023-11-04,2024-02-27,115,3.8333333333333335,1.3043478260869565,1700.82
CUST000179,2142.44,4,535.61,2024-10-06,2024-12-04,59,1.9666666666666666,2.0338983050847457,2142.4399999999996
CUST000180,848.35,2,424.175,2024-11-15,2024-12-31,46,1.5333333333333334,1.3043478260869565,848.35
CUST000181,623.48,3,207.82666666666668,2023-11-06,2024-01-07,62,2.066666666666667,1.4516129032258063,623.48
CUST000182,710.22,1,710.22,2024-01-16,2024-01-16,0,1.0,1.0,710.22
CUST000184,1622.72,5,324.544,2024-04-30,2024-10-01,154,5.133333333333334,0.9740259740259739,1622.7199999999998
CUST000185,292.14,1,292.14,2024-04-11,2024-04-11,0,1.0,1.0,292.14
CUST000186,786.87,2,393.435,2024-11-01,2024-12-04,33,1.1,1.8181818181818181,786.8700000000001
CUST000187,761.71,3,253.90333333333334,2023-12-19,2024-03-30,102,3.4,0.8823529411764706,761.7099999999999
CUST000188,531.87,1,531.87,2024-11-25,2024-11-25,0,1.0,1.0,531.87
CUST000189,165.22,1,165.22,2023-10-07,2023-10-07,0,1.0,1.0,165.22
CUST000190,989.99,3,329.99666666666667,2023-09-18,2023-11-12,55,1.8333333333333333,1.6363636363636365,989.99
CUST000191,970.4,1,970.4,2024-12-22,2024-12-22,0,1.0,1.0,970.4
CUST000192,601.08,1,601.08,2024-12-06,2024-12-06,0,1.0,1.0,601.08
CUST000193,106.66,1,106.66,2024-03-02,2024-03-02,0,1.0,1.0,106.66
CUST000194,418.86,1,418.86,2024-12-27,2024-12-27,0,1.0,1.0,418.86
CUST000195,540.3499999999999,4,135.08749999999998,2024-09-11,2024-12-22,102,3.4,1.1764705882352942,540.3499999999999
CUST000196,689.41,2,344.705,2024-06-04,2024-07-16,42,1.4,1.4285714285714286,689.41
CUST000197,4937.9,10,493.78999999999996,2023-10-03,2024-09-06,339,11.3,0.8849557522123893,4937.9
CUST000198,715.17,1,715.17,2024-12-12,2024-12-12,0,1.0,1.0,715.17
CUST000199,631.4300000000001,2,315.71500000000003,2023-06-01,2023-07-23,52,1.7333333333333334,1.1538461538461537,631.43
CUST000200,583.65,4,145.9125,2024-05-22,2024-08-05,75,2.5,1.6,583.65
CUST000201,814.99,2,407.495,2024-04-28,2024-05-30,32,1.0666666666666667,1.875,814.99
CUST000202,64.56,1,64.56,2024-07-31,2024-07-31,0,1.0,1.0,64.56
CUST000203,885.6800000000001,3,295.2266666666667,2023-10-23,2023-12-24,62,2.066666666666667,1.4516129032258063,885.68
CUST000204,863.34,3,287.78000000000003,2024-06-04,2024-07-19,45,1.5,2.0,863.3400000000001
CUST000205,37.32,1,37.32,2024-02-17,2024-02-17,0,1.0,1.0,37.32
CUST000206,1299.31,2,649.655,2024-03-11,2024-03-20,9,1.0,2.0,1299.31
CUST000207,813.27,4,203.3175,2023-06-19,2023-09-14,87,2.9,1.3793103448275863,813.27
CUST000208,1025.66,3,341.8866666666667,2024-10-19,2024-12-12,54,1.8,1.6666666666666665,1025.66
CUST000209,538.0,2,269.0,2024-11-06,2024-12-29,53,1.7666666666666666,1.1320754716981132,538.0
CUST000210,468.87,1,468.87,2023-05-20,2023-05-20,0,1.0,1.0,468.87
CUST000211,851.1700000000001,2,425.58500000000004,2024-12-06,2024-12-28,22,1.0,2.0,851.1700000000001
CUST000212,4905.86,17,288.58,2023-05-21,2024-10-12,510,17.0,1.0,4905.86
CUST000213,604.05,1,604.05,2023-01-14,2023-01-14,0,1.0,1.0,604.05
CUST000214,960.88,3,320.29333333333335,2024-11-01,2024-11-23,22,1.0,3.0,960.8800000000001
CUST000215,767.72,3,255.90666666666667,2023-09-29,2024-01-02,95,3.1666666666666665,0.9473684210526316,767.72
CUST000216,819.3199999999999,3,273.1066666666666,2024-09-03,2024-11-13,71,2.3666666666666667,1.267605633802817,819.3199999999999
CUST000217,216.42,1,216.42,2023-08-22,2023-08-22,0,1.0,1.0,216.42
CUST000218,420.53999999999996,2,210.26999999999998,2024-02-11,2024-03-08,26,1.0,2.0,420.53999999999996
CUST000219,1111.63,4,277.9075,2024-03-12,2024-05-29,78,2.6,1.5384615384615383,1111.63
CUST000220,975.32,2,487.66,2024-11-06,2024-12-07,31,1.0333333333333334,1.9354838709677418,975.3200000000002
CUST000221,897.71,2,448.855,2023-06-13,2023-06-24,11,1.0,2.0,897.71
CUST000222,647.61,3,215.87,2023-03-28,2023-06-11,75,2.5,1.2,647.6099999999999
CUST000223,394.98,1,394.98,2024-11-27,2024-11-27,0,1.0,1.0,394.98
CUST000225,1083.64,2,541.82,2024-11-29,2024-12-24,25,1.0,2.0,1083.64
CUST000227,1087.91,4,271.9775,2024-03-27,2024-07-08,103,3.433333333333333,1.1650485436893205,1087.91
CUST000228,1208.58,4,302.145,2023-10-08,2024-02-09,124,4.133333333333334,0.9677419354838709,1208.58
CUST000229,2696.6,8,337.075,2024-04-18,2024-11-24,220,7.333333333333333,1.090909090909091,2696.6
CUST000230,770.0,2,385.0,2023-08-09,2023-09-05,27,1.0,2.0,770.0
CUST000231,3685.9,8,460.7375,2023-08-29,2024-04-01,216,7.2,1.1111111111111112,3685.9000000000005
CUST000232,1760.23,5,352.046,2023-06-16,2023-11-04,141,4.7,1.0638297872340425,1760.23
CUST000233,728.49,1,728.49,2024-03-08,2024-03-08,0,1.0,1.0,728.49
CUST000234,1550.4099999999999,5,310.082,2023-11-01,2024-02-18,109,3.6333333333333333,1.3761467889908257,1550.41
CUST000235,529.59,2,264.795,2023-10-20,2023-12-01,42,1.4,1.4285714285714286,529.59
CUST000236,858.47,3,286.1566666666667,2024-10-03,2024-12-09,67,2.2333333333333334,1.3432835820895521,858.47
CUST000237,1498.8200000000002,4,374.70500000000004,2023-09-09,2023-11-07,59,1.9666666666666666,2.0338983050847457,1498.82
CUST000238,668.81,4,167.2025,2024-07-15,2024-11-30,138,4.6,0.8695652173913044,668.81
CUST000239,223.55,1,223.55,2023-06-06,2023-06-06,0,1.0,1.0,223.55
CUST000240,508.49,2,254.245,2024-10-06,2024-10-24,18,1.0,2.0,508.49
CUST000241,178.87,1,178.87,2023-08-18,2023-08-18,0,1.0,1.0,178.87
CUST000242,303.83000000000004,3,101.27666666666669,2023-06-29,2023-09-11,74,2.466666666666667,1.2162162162162162,303.83000000000004
CUST000243,2705.15,8,338.14375,2023-08-21,2024-04-11,234,7.8,1.0256410256410258,2705.15
CUST000244,389.88,1,389.88,2024-01-02,2024-01-02,0,1.0,1.0,389.88
CUST000245,2346.29,10,234.629,2024-05-24,2024-12-26,216,7.2,1.3888888888888888,2346.29
CUST000246,263.2,1,263.2,2024-01-14,2024-01-14,0,1.0,1.0,263.2
CUST000247,384.06,1,384.06,2024-12-19,2024-12-19,0,1.0,1.0,384.06
CUST000248,2428.43,7,346.9185714285714,2024-02-20,2024-07-21,152,5.066666666666666,1.381578947368421,2428.43
CUST000249,2926.19,8,365.77375,2024-01-10,2024-05-31,142,4.733333333333333,1.6901408450704225,2926.19
CUST000250,1633.25,5,326.65,2024-07-03,2024-12-20,170,5.666666666666667,0.8823529411764706,1633.25
CUST000251,618.01,5,123.602,2023-06-21,2023-11-03,135,4.5,1.1111111111111112,618.0100000000001
CUST000252,609.76,2,304.88,2023-07-10,2023-08-09,30,1.0,2.0,609.76
CUST000254,213.06,1,213.06,2024-06-23,2024-06-23,0,1.0,1.0,213.06
CUST000255,215.76999999999998,2,107.88499999999999,2024-11-20,2024-12-28,38,1.2666666666666666,1.5789473684210527,215.76999999999998
CUST000256,1209.01,3,403.00333333333333,2024-08-25,2024-10-15,51,1.7,1.7647058823529411,1209.01
CUST000257,1816.64,7,259.52000000000004,2023-12-25,2024-06-22,180,6.0,1.1666666666666667,1816.6400000000006
CUST000258,1543.9899999999998,4,385.99749999999995,2024-10-21,2024-12-12,52,1.7333333333333334,2.3076923076923075,1543.9899999999998
CUST000259,228.87,1,228.87,2024-05-02,2024-05-02,0,1.0,1.0,228.87
CUST000260,892.17,2,446.085,2023-07-04,2023-08-12,39,1.3,1.5384615384615383,892.17
CUST000261,975.55,5,195.10999999999999,2024-04-10,2024-07-25,106,3.533333333333333,1.4150943396226416,975.55
CUST000262,2025.71,5,405.142,2023-11-02,2024-03-20,139,4.633333333333334,1.079136690647482,2025.71
CUST000263,1965.81,5,393.162,2024-10-09,2024-12-25,77,2.566666666666667,1.9480519480519478,1965.8099999999997
CUST000264,892.48,5,178.496,2023-10-24,2024-02-20,119,3.966666666666667,1.2605042016806722,892.48
CUST000265,718.84,4,179.71,2023-06-05,2023-08-22,78,2.6,1.5384615384615383,718.84
CUST000266,2498.24,5,499.64799999999997,2023-12-26,2024-05-04,130,4.333333333333333,1.153846153846154,2498.2400000000002
CUST000267,929.78,2,464.89,2024-11-05,2024-12-09,34,1.1333333333333333,1.7647058823529411,929.78
CUST000268,800.05,3,266.68333333333334,2024-09-02,2024-12-08,97,3.2333333333333334,0.9278350515463918,800.0500000000001
CUST000269,3543.07,9,393.6744444444445,2023-02-01,2023-11-06,278,9.266666666666667,0.9712230215827338,3543.0700000000006
CUST000270,133.71,1,133.71,2023-12-12,2023-12-12,0,1.0,1.0,133.71
CUST000271,598.79,4,149.6975,2023-10-21,2024-03-12,143,4.766666666666667,0.8391608391608392,598.79
CUST000272,127.94,1,127.94,2024-11-13,2024-11-13,0,1.0,1.0,127.94
CUST000273,2508.63,7,358.3757142857143,2024-05-22,2024-10-20,151,5.033333333333333,1.390728476821192,2508.63
CUST000274,268.49,2,134.245,2023-03-19,2023-05-12,54,1.8,1.1111111111111112,268.49
CUST000275,1871.95,5,374.39,2023-07-25,2023-11-24,122,4.066666666666666,1.2295081967213115,1871.95
CUST000276,926.55,3,308.84999999999997,2023-01-18,2023-03-03,44,1.4666666666666666,2.0454545454545454,926.5499999999997
